Entity A Type,Entity A,Entity B Type,Entity B,Connection,Source(s)
Person,MICK MULVANEY,Organization,INDIAN LAND ROTARY,Board member,http://www.politico.com/arena/bio/rep_mick_mulvaney_.html
Person,MICK MULVANEY,Organization,"JAMES, MCELROY & DIEHL",Former employee,http://www.usnews.com/news/articles/2011/02/22/10-things-you-didnt-know-about-mick-mulvaney
Person,MICK MULVANEY,Organization,MP/COLLINS ROAD LLC,Managing member,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Organization,MULVANEY AND FISHER,Former employee,http://members-of-congress.insidegov.com/l/355/Mick-Mulvaney#Background&s=1uXD67
Person,MICK MULVANEY,Organization,MULVANEY PROPERTIES,Listed as employment asset/income on Public Financial Disclosure Report,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Organization,NORTHWESTERN MUTUAL IRREVOCABLE LIFE INSURANCE TRUST,Trustee,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Organization,"OLD HICKORY MANOR, LLC",Listed as employment asset/income on Public Financial Disclosure Report,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Person,PAM MULVANEY,Married,http://www.usnews.com/news/articles/2011/02/22/10-things-you-didnt-know-about-mick-mulvaney
Person,MICK MULVANEY,Organization,SALSARITA'S INCORPORATED,Former owner/operator,http://members-of-congress.insidegov.com/l/355/Mick-Mulvaney#Background&s=1uXD67
Person,MICK MULVANEY,Organization,SPRINGS MEMORIAL HOSPITAL,Board member,http://www.politico.com/arena/bio/rep_mick_mulvaney_.html
Person,MICK MULVANEY,Organization,"THE MULVANEY COMPANY, INC.",President,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Organization,"THE MULVANEY GROUP, LTD.",Former president,http://members-of-congress.insidegov.com/l/355/Mick-Mulvaney#Background&s=1uXD67
Person,MICK MULVANEY,Organization,"TYVOLA, LLC",Listed as employment asset/income on Public Financial Disclosure Report,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Person,MICK MULVANEY,Organization,UNIVERSITY OF SOUTH CAROLINA-LANCASTER,Member of the Board of Visitors,http://www.politico.com/arena/bio/rep_mick_mulvaney_.html
Person,MICK MULVANEY,Organization,"WREN DEVELOPMENT, LLC",Listed as employment asset/income on Public Financial Disclosure Report,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Organization,MIDLAND RESOURCES HOLDING INC.,Organization,ZAPOROZHSTAL,Ownership,http://www.theglobeandmail.com/report-on-business/rob-magazine/the-invisible-man/article18228210/?page=all
Person,MIKE BASELICE,Organization,BASELICE & ASSOCIATES,President and CEO,http://www.baselice.com/our-team/
Person,MIKE FERGUSON,Organization,BAKERHOSTETLER,Lawyer,https://www.bakerlaw.com/press/former-us-congressman-mike-ferguson-joins-bakerhostetler-to-lead-federal-policy-team
Person,MIKE PENCE,Person,DONALD J. TRUMP,Vice President,General knowledge
Person,MIKE PENCE,Organization,INDIANA POLICY REVIEW FOUNDATION,Former president,http://www.indianapolismonthly.com/news-opinion/incoming-mike-pence/
Person,MIKE PENCE,Person,JARROD P. AGEN,Director of communications,https://www.documentcloud.org/documents/3534451-Agen-Jarrod.html
Person,MIKE PENCE,Person,JEN PAVLIK,Deputy chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,MIKE PENCE,Person,JOHN GRAY,Gray worked for Pence,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Person,MIKE PENCE,Person,JOSH PITCOCK,Chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,MIKE PENCE,Person,MARC LOTTER,Press secretary,https://www.documentcloud.org/documents/3535104-Lotter-Marc.html
Person,MIKE PENCE,Person,MARC SHORT,"""Longtime aide,"" per CNN",http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,MIKE PENCE,Person,MARTY OBST,"Obst is a ""top Pence aide,"" per Politico",http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
Person,MIKE PENCE,Organization,MIKE PENCE FOR INDIANA,Official campaign committee,http://campaignfinance.in.gov/PublicSite/SearchPages/CommitteeDetail.aspx?OrgId=6171
Person,MIKE PENCE,Organization,NETWORK INDIANA,Syndicated the Mike Pence Show via radio,https://www.bostonglobe.com/news/nation/2016/07/19/for-mike-pence-political-career-was-launched-when-his-talk-radio-show-took-off/KUkYKbl77vJ6yntVBBUM0L/story.html
Person,MIKE PENCE,Person,NICK AYERS,"Ayers is ""one of [Pence's] top political advsiors,"" per Politico",http://www.politico.com/story/2017/01/new-pro-trump-political-group-readies-for-launch-233263
Person,MIKE PENCE,Person,RUSS VOUGHT,Former aide,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Person,MIKE PENCE,Person,RYAN JARMULA,"Jarmula ""served as a member of [Pence's] staff for a number of years,"" per the transition team",https://greatagain.gov/policy-team-32afa7145773
Person,MIKE PENCE,Person,SARAH MAKIN,Director of public engagement and intergovernmental affairs,https://www.documentcloud.org/documents/3535103-Makin-Sarah.html
Person,MIKE PENCE,Person,THOMAS E. WHEELER,Wheeler worked for Pence,http://www.motherjones.com/politics/2017/02/justice-department-thomas-wheeler-presentations
Person,MIKE PENCE,Organization,WRCR-FM,Ran the Mike Pence Show,https://libraries.indiana.edu/mike-pence-congressional-papers
Organization,MIKE PENCE FOR INDIANA,Person,KELLYANNE CONWAY,Consultant,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
Organization,MIKE PENCE FOR INDIANA,Person,MARC LOTTER,Former deputy campaign manager,https://www.documentcloud.org/documents/3535104-Lotter-Marc.html
Person,MIKHAIL MORGULIS,Organization,RUSSIAN-AMERICAN CHAMBER OF COMMERCE IN THE USA,One of the chamber's main backers,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
Person,MIKIYASU KAYANUMA,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,MINA PATEL,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Organization,"MISS UNIVERSE L.P., LLLP",Organization,TRUMP PAGEANTS LP,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,MITCH MCCONNELL,Person,ELAINE CHAO,Married,http://elainelchao.com/biography/
Person,MITCHELL QUAIN,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,MITT ROMNEY,Organization,"ROMNEY FOR PRESIDENT, INC.",Official campaign committee,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00431171&tabIndex=1
Organization,MLQ BK REO LLC,Organization,GOLDMAN SACHS,Subsidiary,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=249863894
Organization,MLQ LLC,Organization,GOLDMAN SACHS,Subsidiary,https://www.sec.gov/Archives/edgar/data/886982/000119312512085822/d276319dex211.htm
Organization,MNC GROUP,Organization,MNC BANK,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
Organization,MNC GROUP,Organization,MNC CORPORATION,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
Organization,MNC GROUP,Organization,MNC FINANCIAL SERVICES,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
Organization,MNC GROUP,Organization,MNC LAND,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
Organization,MNC GROUP,Organization,MNC MEDIA,Subsidiary,http://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html
Organization,MOBILE PAYROLL CONSTRUCTION MANAGER CORP.,Organization,MOBILE PAYROLL CONSTRUCTION LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,MOISÉS YELLATI,Organization,YY DEVELOPMENT GROUP,Co-owner,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
Person,MUKEMMEL SARIMSAKCI,Organization,"THE TRUMP ORGANIZATION, INC.",Partnership,http://nymag.com/daily/intelligencer/2017/03/meet-the-trump-partner-who-calls-himself-turkish-trump.html
Person,MYRNA HAFT,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Organization,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,Person,GREG KATSAS,Former advisory council board member,https://www.documentcloud.org/documents/3534034-Katsas-Gregory.html
Organization,NATIONAL RIFLE ASSOCIATION,Person,KELLYANNE CONWAY,Consultant,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
Organization,NATIONAL RIFLE ASSOCIATION,Person,SEAN CAIRNCROSS,Provided legal services for,https://www.documentcloud.org/documents/3533941-Cairncross-Sean.html
Organization,NATIONALIST CONGRESS PARTY (INDIA),Organization,TRUMP ORGANIZATION LLC,"""close ties,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Organization,NATIONWIDE MUTUAL INSURANCE COMPANY,Organization,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
Organization,NATIXIS,Organization,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
Organization,NEW WORLD PROPERTY MANAGEMENT LIMITED,Organization,"TRUMP/NEW WORLD PROPERTY MANAGEMENT, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,NICK AYERS,Organization,AMERICA FIRST POLICIES,Co-founder,http://www.nbcnewyork.com/news/national-international/Trump-Advisers-Start-America-First-Policies-Nonprofit-412189843.html
Person,NICOLAS SARKOZY,Person,THOMAS J. BARRACK JR.,Sarkozy awarded France's Chevalier de la Légion d'Honneur to Barrack,http://colonyinc.com/about#fulltext4
Person,NICOLE KUSHNER MEYER,Person,DARA ORBACH,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
Person,NICOLE KUSHNER MEYER,Organization,KUSHNER COMPANIES,Principal partner,http://www.esquire.com/news-politics/a47697/jared-kushner-trump-campaign/ | https://www.linkedin.com/in/nicole-meyer-82a259113
Person,NICOLE KUSHNER MEYER,Organization,SERYL CHARLES KUSHNER FAMILY FOUNDATION INC,Director,https://www.documentcloud.org/documents/3410837-22-3422337-990PF-201412.html
Person,NIGEL FARAGE,Person,ROBERT MERCER,"""Close friends,"" per the Guardian",https://www.theguardian.com/politics/2017/mar/04/nigel-oakes-cambridge-analytica-what-role-brexit-trump
Person,NIGEL OAKES,Organization,BEHAVIOURAL DYNAMICS INSTITUTE,Chairman,https://www.linkedin.com/in/nigel-oakes-fri-99b8177
Person,NIGEL OAKES,Organization,SCL GROUP,CEO,https://www.linkedin.com/in/nigel-oakes-fri-99b8177
Person,NIKKI HALEY,Organization,EXOTICA INTERNATIONAL,"""helped grow"" the business, per CBSNewYork",http://newyork.cbslocal.com/2016/11/23/nikki-haley-fast-facts/
Person,NIKKI HALEY,Organization,FCR CORPORATION,Former employee,http://newyork.cbslocal.com/2016/11/23/nikki-haley-fast-facts/
Person,NIKKI HALEY,Organization,LEXINGTON COUNTY (S.C.) CHAMBER OF COMMERCE,Former board member,http://web.archive.org/web/20071219073547/http://www.scstatehouse.net/members/bios/0735227185.html
Person,NIKKI HALEY,Organization,LEXINGTON MEDICAL CENTER FOUNDATION,Former board member,http://web.archive.org/web/20071219073547/http://www.scstatehouse.net/members/bios/0735227185.html
Person,NIKKI HALEY,Organization,LEXINGTON SHERIFF'S FOUNDATION,Former board member,http://web.archive.org/web/20071219073547/http://www.scstatehouse.net/members/bios/0735227185.html
Person,NIKKI HALEY,Organization,NATIONAL ASSOCIATION OF WOMEN BUSINESS OWNERS,Former treasurer and former president,https://greatagain.gov/president-elect-donald-j-32142a6c091e#.dgeijcio4
Person,NIKKI HALEY,Organization,ORANGEBURG COUNTY CHAMBER OF COMMERCE,Former board member,http://web.archive.org/web/20071219073547/http://www.scstatehouse.net/members/bios/0735227185.html
Person,NIR EREL MARGALIT,Organization,NITTO WORLD CO. LIMITED,Former director,https://beta.companieshouse.gov.uk/company/02124389/officers
Person,NIR EREL MARGALIT,Organization,SLC TURNBERRY LIMITED,Former director,https://beta.companieshouse.gov.uk/company/SC177810/officers
Person,NOEL FRANCISCO,Organization,JONES DAY,Former attorney,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/
Organization,NOELLE NIKPOUR FOR CONGRESS,Person,ANNIE DONALDSON,Provided legal services for,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
Organization,NOELLE NIKPOUR FOR CONGRESS,Person,NOELLE NIKPOUR,Official campaign committee,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00582684&tabIndex=3
Organization,NORTH ASTOR STREET CONDO,Person,JEREMY KATZ,Former treasurer,https://www.documentcloud.org/documents/3534036-Katz-Jeremy.html
Organization,NORTHERN TRUST,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,NORTHERN TRUST,Organization,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
Organization,NORTHSTAR ASSET MANAGEMENT GROUP INC.,Organization,"COLONY NORTHSTAR, INC.",Part of tri-merger to form Colony NorthStar,http://colonyinc.com/about#t3-mainbody
Organization,NORTHSTAR REALTY FINANCE,Organization,"COLONY NORTHSTAR, INC.",Part of tri-merger to form Colony NorthStar,http://colonyinc.com/about#t3-mainbody
Organization,NUVEEN INVESTMENTS,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,OAKTREE CAPITAL MANAGEMENT,Organization,KUSHNER COMPANIES,Real-estate partner,http://www.debevoise.com/edwardrishty
Organization,OBSERVER MEDIA,Organization,PUBLIUS GROUP,Bought website,http://www.nytimes.com/2007/03/11/fashion/11jared.html
Organization,"OCEAN DEVELOPMENT MEMBER, INC.",Organization,OCEAN DEVELOPMENT SERVICES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,OLEG DERIPASKA,Organization,"PERICLES EMERGING MARKET PARTNERS, L.P.",Major backer,https://www.nytimes.com/2016/08/15/us/politics/paul-manafort-ukraine-donald-trump.html
Person,OMAROSÉ ONEE MANIGAULT,Person,ALBERT ROSS SR.,Mentored by,http://www.omarosa.com/#
Person,OMAROSÉ ONEE MANIGAULT,Organization,ASK (ASK SEEK KNOCK) MISSIONARY ORGANIZATION,Founder,http://www.omarosa.com/
Person,OMAROSÉ ONEE MANIGAULT,Organization,"DONALD J. TRUMP FOR PRESIDENT, INC.",Former director of African American outreach,https://www.documentcloud.org/documents/3534044-Manigault-Omarosa.html
Person,OMAROSÉ ONEE MANIGAULT,Organization,FRED JORDAN MISSION,Worked on behalf of,http://www.omarosa.com/#
Person,OMAROSÉ ONEE MANIGAULT,Person,H. B. HICKS,Mentored by,http://www.omarosa.com/#
Person,OMAROSÉ ONEE MANIGAULT,Organization,HAITI SUPPORT PROJECT,International Goodwill Ambassador,http://www.omarosa.com/
Person,OMAROSÉ ONEE MANIGAULT,Organization,HOWARD UNIVERSITY,Adjunct professor,http://www.omarosa.com/
Person,OMAROSÉ ONEE MANIGAULT,Organization,LOS ANGELES UNIFIED SCHOOL DISTRICT,Former teacher,https://www.documentcloud.org/documents/3534044-Manigault-Omarosa.html
Person,OMAROSÉ ONEE MANIGAULT,Organization,OFFICE OF VICE PRESIDENT AL GORE,"Scheduling director, among other positions",http://www.cnbc.com/2017/01/03/omarosa-manigault-joining-trumps-white-house-staff-to-focus-on-public-engagement-ap.html
Person,OMAROSÉ ONEE MANIGAULT,Organization,"OMAROSA, INC.",President,https://businesssearch.sos.ca.gov/Document/RetrievePDF
Person,OMAROSÉ ONEE MANIGAULT,Organization,PAYNE THEOLOGICAL SEMINARY,Ordained preacher,http://thegrio.com/2012/02/27/reality-tv-star-omarosa-has-been-ordained-as-rev-manigault/
Person,OMAROSÉ ONEE MANIGAULT,Organization,POSITIVE VIBRATIONS,Worked on behalf of,http://www.omarosa.com/#
Person,OMAROSÉ ONEE MANIGAULT,Organization,UNITED THEOLOGICAL SEMINARY,Former student,http://www.marketwired.com/press-release/omarosa-manigault-stallworth-has-officially-enrolled-united-theological-seminary-dayton-1211256.htm
Person,OMAROSÉ ONEE MANIGAULT,Organization,WELLER STREET MISSIONARY BAPTIST CHURCH,Assistant pastor,http://www.theroot.com/articles/culture/2011/02/omarosa_becomes_assistant_pastor/
Organization,ONE CENTRAL PARK WEST ASSOCIATES,Organization,ONE CENTRAL PARK WEST PT ASSOCIATES,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,ONE THREE MEDIA,Organization,MARK BURNETT PRODUCTIONS,NKA/FKA,http://www.hearst.com/newsroom/mark-burnett-sets-unscripted-record-six-network-primetime-series-on-air-during-next-12-months
Organization,OPO HOTEL MANAGER LLC,Organization,DON OPO HOTEL MANAGER LLC,Member,https://assets.documentcloud.org/documents/3000979/Exhibit-G-After-FOIA-APPEAL.pdf
Organization,OPO HOTEL MANAGER LLC,Organization,ERIC OPO HOTEL MANAGER LLC,Member,https://assets.documentcloud.org/documents/3000979/Exhibit-G-After-FOIA-APPEAL.pdf
Organization,OPO HOTEL MANAGER LLC,Organization,IVANKA OPO HOTEL MANAGER LLC,Member,https://assets.documentcloud.org/documents/3000979/Exhibit-G-After-FOIA-APPEAL.pdf
Organization,OPO HOTEL MANAGER LLC,Organization,THC DC RESTAURANT HOSPITALITY LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,OPO HOTEL MANAGER MEMBER CORP.,Organization,OPO HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,PAM MULVANEY,Organization,"KEY WEST, LLC",Listed as employment asset/income on Public Financial Disclosure Report,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85EEA9EC488BDE4852580AB00618C29/$FILE/Mulvaney,%20John%20M%20Final%20278.pdf"
Organization,PANAMA OCEAN CLUB MANAGEMENT MEMBER CORP.,Organization,PANAMA OCEAN CLUB MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,PARAMOUNT RPV HOLDINGS MANAGER CORP.,Organization,PARAMOUNT RPV HOLDINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,"PARC CONSULTING, INC.",Organization,40 WALL DEVELOPMENT ASSOCIATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Organization,"PARKER TIDE, CORP.",Person,ANTHONY W. PARKER,Founder and president,http://parkertide.com/about/meet-our-team/
Person,PATRICIA LEVESQUE,Organization,FOUNDATION FOR EXCELLENCE IN EDUCATION,CEO,http://www.excelined.org/team/patricia-levesque/
Person,PATRICK CADDELL,Organization,ARMADA PUBLISHING,Principal,http://www.prnewswire.com/news-releases/dont-pay-any-attention-to-the-exit-polls-its-breaking-trumps-way---patrick-caddell-300365510.html
Person,PATRICK CADDELL,Organization,CITIZENS UNITED FOUNDATION,"Citizens United ""hire[d] Caddell to convene focus groups of disillusioned Obama supporters,"" per The New Yorker",http://www.newyorker.com/magazine/2017/03/27/the-reclusive-hedge-fund-tycoon-behind-the-trump-presidency
Person,PAUL GERVAIS,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,PAUL MANAFORT,Person,ABDUL RAHMAN AL-ASSIR,Manafort secured a loan from al-Assir,https://www.washingtonpost.com/politics/in-business-as-in-politics-trump-adviser-no-stranger-to-controversial-figures/2016/04/26/970db232-08c7-11e6-b283-e79d81c63c1b_story.html?utm_term=.de35331c8594
Person,PAUL MANAFORT,Person,ARTHUR G. COHEN,"""negotiated a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times",https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Person,PAUL MANAFORT,Organization,"BLACK, MANAFORT, STONE AND KELLY",Co-founder,https://www.washingtonpost.com/news/powerpost/wp/2016/04/07/from-ukraine-to-trump-tower-paul-manafort-unafraid-to-take-on-controversial-jobs/
Person,PAUL MANAFORT,Organization,BRAIN TRAUMA FOUNDATION,Board member,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Organization,CENTER FOR DEMOCRACY,Board member,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Organization,CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES,Senior fellow,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Organization,CENTER FOR STUDY OF DEMOCRATIC INSTITUTIONS,Board member,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Organization,DAVIS MANAFORT INTERNATIONAL,Co-founder,https://www.nytimes.com/2016/08/15/us/politics/paul-manafort-ukraine-donald-trump.html
Person,PAUL MANAFORT,Organization,"DAVIS MANAFORT, INC.",Co-founder,https://assets.documentcloud.org/documents/2814130/Pericles-Winding-Up-Petition.pdf
Person,PAUL MANAFORT,Person,DMITRY FIRTASH,Worked together in bid for site of Drake Hotel in NYC,https://www.washingtonpost.com/politics/in-business-as-in-politics-trump-adviser-no-stranger-to-controversial-figures/2016/04/26/970db232-08c7-11e6-b283-e79d81c63c1b_story.html?utm_term=.de35331c8594
Person,PAUL MANAFORT,Organization,DMP INTERNATIONAL,Founder,https://www.washingtonpost.com/news/powerpost/wp/2016/04/07/from-ukraine-to-trump-tower-paul-manafort-unafraid-to-take-on-controversial-jobs/
Person,PAUL MANAFORT,Person,DMYTRO FIRTASH,"Manafort and Firtash, ""an oligarch who made billions as a middleman for Gazprom,"" were partners in ""a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times",https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Person,PAUL MANAFORT,Organization,INVESTMENT POLICY ADVISORY COMMITTEE,Member,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Organization,OVERSEAS PRIVATE INVESTMENT CORPORATION,Former director,https://www.braintrauma.org/about?tab=2
Person,PAUL MANAFORT,Person,RINAT AKHMETOV,Manafort worked to improve image of Akhmetov's companies,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Person,PAUL MANAFORT,Person,SERHIY LYOVOCHKIN,Manafort ran PR for Lyovochkin's campaign,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Person,PAUL MANAFORT,Person,VIKTOR F. YANUKOVYCH,Manafort ran PR for Yanukovych's campaign,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Person,PAUL TELLER,Organization,CONSERVATIVE ACTION NETWORK,Deputy director,https://www.documentcloud.org/documents/3534342-Teller-Paul.html
Person,PAULA LEED,Organization,"MAR-A-LAGO CLUB, INC",Reported member,https://static01.nyt.com/images/2017/02/18/us/18MARALAGO-MEMBERLISTS/18MARALAGO-MEMBERLISTS-blog427.jpg
Person,PAULO FIGUEIREDO FILHO,Organization,LSH BARRA,Former CEO,https://www.washingtonpost.com/classic-apps/high-rollers-risk-takers-and-rule-benders-donald-trumps-unorthodox-roster-of-overseas-business-partners/2017/01/13/73797ab6-cc37-11e6-b8a2-8c2a61b0436f_story.html?utm_term=.c2f475ce19c6
Person,PAVEL FUKS,Organization,TRUMP ORGANIZATION LLC,"""maintained close relations,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Organization,PAYDEN & RYGEL,Organization,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
Organization,PENNSYLVANIA LEGAL AID,Person,JAMES SCHULTZ,"Member, board of trustees",https://www.documentcloud.org/documents/3534346-Shultz-James.html
Organization,"PERICLES EMERGING MARKET PARTNERS, L.P.",Organization,BLACK SEA CABLE,Bought station,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
Organization,"PERICLES EMERGING MARKET PARTNERS, L.P.",Organization,PERICLES EMERGING MARKET MANAGERS L.P.,Managed company,https://assets.documentcloud.org/documents/2814130/Pericles-Winding-Up-Petition.pdf
Person,PETER DAVIS,Organization,NEW YORK LUXURY PUBLISHING,Editor-in-chief of Scene magazine,http://www.nytimes.com/2012/03/01/fashion/peter-davis-to-introduce-a-society-magazine.html | http://www.tmz.com/2016/11/30/jared-kushner-lawsuit-scene-in-new-york-magazine/
Person,PETER G. KELLY,Organization,"BLACK, MANAFORT, STONE AND KELLY",Former full partner,https://www.washingtonpost.com/archive/politics/1991/01/03/pr-firm-acquires-black-manafort/d31e37db-d7eb-4cf3-8ef6-749b9b73ecb7/
Person,PETER SCHWEIZER,Organization,BREITBART NEWS,Senior Editor-at-Large,http://www.breitbart.com/radio/2016/12/27/peter-schweizer-trump-dissolves-foundation-shows-leadership-unlike-clintons-fighting-tooth-nail-keep-cash-flow/
Person,PETER SCHWEIZER,Organization,GOVERNMENT ACCOUNTABILITY INSTITUTE,Former president,https://www.washingtonpost.com/investigations/how-bannons-multimedia-machine-drove-a-movement-and-paid-him-millions/2017/04/09/203df1ce-197b-11e7-855e-4824bbb5d748_story.html?utm_term=.49b3a547a917
Person,PETER SCHWEIZER,Organization,YOUNG AMERICA'S FOUNDATION,Former board member,https://www.washingtonpost.com/investigations/how-bannons-multimedia-machine-drove-a-movement-and-paid-him-millions/2017/04/09/203df1ce-197b-11e7-855e-4824bbb5d748_story.html?utm_term=.49b3a547a917
Person,PETER THIEL,Organization,CLARIUM CAPITAL,Co-founder and president,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4976137
Person,PETER THIEL,Organization,FACEBOOK,Board member,https://investor.fb.com/corporate-governance/default.aspx
Person,PETER THIEL,Organization,FOUNDERS FUND,Partner,http://foundersfund.com/our_team/
Person,PETER THIEL,Organization,MITHRIL CAPITAL,Co-founder and chairman,http://www.mithril.com/leadership/
