Organization A,Organization B,Connection,Source(s)
RELATED GROUP OF FLORIDA,RUSSIAN-AMERICAN CHAMBER OF COMMERCE IN THE USA,"The chamber said it had ""signed formal agreements"" with the Related Group to ""jointly service the Russian clients’ commercial, residential and industrial real-estate needs,” in an April 2009 newsletter, according to the Financial Times",https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
RELATIVITY MEDIA,"ONEWEST BANK, FSB","""And disgruntled Relativity investors privately are questioning how a bank Mnuchin once headed – OneWest Bank of Pasadena – was allowed by Relativity to drain $50 million from the studio just weeks prior to the July 30 insolvency filing.""",https://variety.com/2015/biz/news/relativity-steve-mnuchin-co-chairman-1201557256/
RESTAURANT 40 MEMBER CORP.,RESTAURANT 40 LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
RIVERNORTH CAPITAL MANAGMENT,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
ROSNEFT,GLENCORE,Ownership,http://www.reuters.com/article/us-russia-rosneft-privatisation-insight-idUSKBN1582OH
ROSNEFT,NEFTEGAZ HOLDING AMERICA LIMITED,Subsidiary,https://rosneft.com/press/releases/item/114473/
ROSNEFT,QATARI INVESTMENT AUTHORITY,Ownership,http://www.reuters.com/article/us-russia-rosneft-privatisation-insight-idUSKBN1582OH
ROSNEFT,RN CARDIUM OIL INC.,Subsidiary,https://rosneft.com/press/releases/item/114473/
RPV DEVELOPMENT LLC,TRUMP NATIONAL GOLF CLUB - LOS ANGELES,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
RUSSELL INVESTMENTS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
RUSSELL INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
SANEI INTERNATIONAL,ABIGAIL KLEM,Business relationship,http://www.nytimes.com/2016/12/04/us/politics/trump-family-ivanka-donald-jr.html
SCL GROUP,BEHAVIOURAL DYNAMICS INSTITUTE,Affiliate/partner,https://www.bloomberg.com/politics/features/2015-11-12/is-the-republican-party-s-killer-data-app-for-real-
SCL GROUP,CAMBRIDGE ANALYTICA,Subsidiary,http://www.prnewswire.com/news-releases/cambridge-analytica-congratulates-senator-ted-cruz-on-iowa-caucus-win-300213608.html
SCL GROUP,IOTA GLOBAL,Affiliate/partner,http://www.iota-global.com/contact-us.html
SCOUT INVESTMENTS,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
SEI INVESTMENTS COMPANY,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
SEI INVESTMENTS COMPANY,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
SENTIENT JETS LLC,TRUMP JETS LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SENTIENT JETS MEMBER CORP.,TRUMP JETS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SENTRY INTERNATIONAL,KOCH HEAT TRANSFER COMPANY,Business partners,https://web.archive.org/web/20110610100931/http://www.gtfrepresentacoes.com.br/representacao.html
SG COWEN SECURITIES CORP.,BANNON & CO.,Acquired,http://variety.com/1998/biz/news/cowan-weds-bannon-1117481033/
SG COWEN SECURITIES CORP.,SOCIÉTÉ GÉNÉRALE,Subsidiary,http://variety.com/1998/biz/news/cowan-weds-bannon-1117481033/
SLC TURNBERRY LIMITED,TRUMP TURNBERRY,DBA,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=262845745
SMC OCEAN LLC,TRUMP ON THE OCEAN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
SOHO 3203,BAYROCK/SAPIR ORGANIZATION LLC,"Soho 3203 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
SOHO 3310,BAYROCK/SAPIR ORGANIZATION LLC,"Soho 3310 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
SOHO 3311,BAYROCK/SAPIR ORGANIZATION LLC,"Soho 3311 bought an apartment in Trump SoHo through Bayrock/Sapir, according to the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
STATE STREET CORPORATION,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
SUNAMERICA,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
T INTERNATIONAL REALTY LLC,TRUMP INTERNATIONAL REALTY,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
T. ROWE PRICE,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
THC BAKU HOTEL MANAGER SERVICES MEMBER CORP.,THC BAKU HOTEL MANAGER SERVICES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC BAKU SERVICES MEMBER CORP.,THC BAKU SERVICES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC CENTRAL RESERVATIONS MEMBER CORP.,THC CENTRAL RESERVATIONS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC CHINA DEVELOPMENT LLC,TRUMP CHINA DEVELOPMENT LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC CHINA DEVELOPMENT MANAGEMENT CORP.,TRUMP CHINA DEVELOPMENT MANAGEMENT CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC CHINA TECHNICAL SERVICES MANAGER CORP.,THC CHINA TECHNICAL SERVICES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP.,THC BARRA HOTELARIA LTDA,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP.,THC DEVELOPMENT BRAZIL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC DUBAI II HOTEL MANAGER MEMBER CORP.,THC DUBAI II HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC JEDDAH HOTEL ADVISOR MEMBER CORP.,THC JEDDAH HOTEL ADVISOR LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC JEDDAH HOTEL MANAGER MEMBER CORP.,THC JEDDAH HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC MIAMI RESTAURANT HOSPITALITY MEMBER CORP.,THC MIAMI RESTAURANT HOSPITALITY LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC QATAR HOTEL MANAGER MEMBER CORP.,THC QATAR HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC RIO MANAGING MEMBER CORP.,THC RIO MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC SALES & MARKETING MEMBER CORP.,THC SALES & MARKETING LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC SERVICES SHENZHEN MEMBER CORP.,THC SERVICES SHENZHEN LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC SHENZHEN HOTEL MANAGER MEMBER CORP.,THC SHENZHEN HOTEL MANAGER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC VANCOUVER MANAGEMENT CORP.,THC VANCOUVER PAYROLL ULC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC VENTURE I MANAGING MEMBER CORP.,THC VENTURE I LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC VENTURE II MANAGING MEMBER CORP.,THC VENTURE II LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THC VENTURE III LLC,TTTT VENTURE LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"THCR ENTERPRISES, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"THCR ENTERPRISES, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
THCR FUNDING,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
THCR HOLDING CORP.,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"THCR MANAGEMENT HOLDINGS, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"THCR MANAGEMENT SERVICES, LLC","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
"THCR VENTURES, INC.","TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
THCR/LP CORPORATION,"TRUMP HOTELS & CASINO RESORTS, INC.",Subsidiary,https://www.sec.gov/Archives/edgar/data/943320/000119312504053673/dex211.htm
THE BLACKSTONE GROUP,KUSHNER COMPANIES,Loaned money,http://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
THE BRIDGE BUILDER FUNDS,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
THE CARIBUSINESS RE CORP.,"CARIBUSINESS INVESTMENTS, S.R.L.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE CARIBUSINESS RE CORP.,CARIBUSINESS MRE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE CORDISH COMPANIES,ENTERTAINMENT CONSULTING INTERNATIONAL,Subsidiary,http://www.thedailybeast.com/articles/2017/01/17/new-trump-adviser-being-sued-for-hiring-whites-to-attack-blacks.html
THE CORDISH COMPANIES,KUSHNER COMPANIES,Partner,http://www.kansascity.com/news/business/article125474789.html
THE DONALD J. TRUMP AND GRANTOR TRUST,"SHORE HAVEN APT#1, INC.",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE DONALD J. TRUMP REVOCABLE TRUST,DJT HOLDINGS LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE DONALD J. TRUMP REVOCABLE TRUST,DJT HOLDINGS MANAGING MEMBER LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE DONALD J. TRUMP REVOCABLE TRUST,THE DONALD J. TRUMP COMPANY LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE GRANTHAM FOUNDATION,THRIVE CAPITAL,Investor,http://990s.foundationcenter.org/990pf_pdf_archive/046/046856456/046856456_201412_990PF.pdf
THE HARTFORD,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
THE HARTFORD,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
THE HERITAGE FOUNDATION,HERITAGE ACTION FOR AMERICA,Sister organizations,http://heritageaction.com/about/
THE METROPOLITAN OPERA,KUSHNER COMPANIES,Tenant,http://www.crainsnewyork.com/article/20091213/SUB/312139993/for-the-record
THE TRUMP ENTREPRENEUR INITIATIVE LLC,TRUMP UNIVERSITY CA LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),THE TRUMP ENTREPRENEUR INITIATIVE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),TRUMP EDUCATION ULC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE TRUMP FOLLIES MEMBER INC.,THE TRUMP FOLLIES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE TRUMP MARKS REAL ESTATE CORP.,TRUMP MARKS REAL ESTATE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"THE TRUMP ORGANIZATION, INC.","CAP CANA, S.A.",Partnership,http://www.prnewswire.com/news-releases/trump-at-cap-cana-sells-350-million-of-residential-real-estate-in-one-day-event-58556067.html
"THE TRUMP ORGANIZATION, INC.","COLONY CAPITAL, INC.",Bid on the Old Post Office together,https://www.washingtonpost.com/news/digger/wp/2016/07/26/trumps-friend-tom-barrack-praised-him-at-the-rnc-convention-but-pulled-out-of-his-washington-hotel-project/?utm_term=.ce4ac94e4cfd
"THE TRUMP ORGANIZATION, INC.",HOLBORN GROUP OF COMPANIES,Listed as partners on the Trump International Hotel & Tower in Vancouver,http://trumpvancouver.com/team.html
"THE TRUMP ORGANIZATION, INC.",KLAFTER & BURKE,"""First hired in 2006,"" per the Sun-Times",http://chicago.suntimes.com/politics/chicago-democratic-ward-boss-edward-burke-saved-donald-trump-16-7-million-on-trump-tower-taxes/
"THE TRUMP ORGANIZATION, INC.",RUSSIAN-AMERICAN CHAMBER OF COMMERCE IN THE USA,"The chamber said it had ""signed formal agreements"" with the Trump Organization to ""jointly service the Russian clients’ commercial, residential and industrial real-estate needs,” in an April 2009 newsletter, according to the Financial Times",https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
"THE TRUMP ORGANIZATION, INC.",SILK ROAD GROUP,Partnered on Trump Tower Batumi before the Trump Organization announced in early January 2017 that it was withdrawing from the project,https://www.bloomberg.com/news/articles/2017-01-04/trump-pulls-out-of-250-million-tower-plan-in-black-sea-resort
"THE TRUMP ORGANIZATION, INC.",TA GLOBAL BERHAD,Listed as partners on the Trump International Hotel & Tower in Vancouver,http://trumpvancouver.com/team.html
"THE TRUMP ORGANIZATION, INC.",TALON INTERNATIONAL DEVELOPMENT,Talon was the developer of Trump International Hotel & Tower in Toronto,http://www.mcclatchydc.com/news/politics-government/white-house/article125817784.html
"THE TRUMP ORGANIZATION, INC.",TRUMP MORTGAGE LLC,Subsidiary,https://www.linkedin.com/in/e-j-ridings-6797ba9/
THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,FIFTY-SEVENTH STREET ASSOCIATES LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,TRUMP TOWER COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
"THE VANGUARD GROUP, INC.",40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
"THE VANGUARD GROUP, INC.",TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
THRIVE CAPITAL,42FLOORS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ALBUMATIC,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,AND CO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ARTSY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,BABY.COM.BR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,BENCHLING,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,BONDSY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,CADRE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,CHAIN,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,CLASSPASS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,CODECADEMY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,COMPASS REAL ESTATE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,CUE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,DISPATCH.IO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,DWOLLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,FAB.COM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,FIFTYTHREE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,FLATIRON SCHOOL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GIFTLY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GITHUB,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GLOSSIER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GOBBLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GREENHOUSE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,GROUPME,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HARRY'S RAZOR COMPANY,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HIGHTOWER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HONEST BUILDINGS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HONOR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HOT POTATO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HOWABOUTWE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,HYPERPUBLIC,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,IMBELLUS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,INSTACART,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,INSTAGRAM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,INTO THE GLOSS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JELLO LABS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JET.COM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JIBE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JOYABLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JUICERO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JUMP RAMP GAMES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,JUSTWORKS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,KICKSTARTER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,KINNEK,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,LATTICE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,LOLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,MAKERBOT,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,MAPBOX,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,MAPLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,NASTY GAL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,NEVERWARE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ONSWIPE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,OOPA DESIGN,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,OPENDOOR,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,OPENGOV,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ORCHARD PLATFORM,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,OSCAR INSURANCE CORPORATION,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,PAPERLESS POST,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,PATREON,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,PITZI,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,RELATEIQ,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,RENTJUICE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,RESEARCHGATE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ROOMORAMA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SAILTHRU,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SEGMENT.IO,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SHIFT LABS,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SIMPLE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SLACK TECHNOLOGIES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,SPREE COMMERCE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,STRIPE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,TICKTAIL,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,TUTORSPREE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,TWITCH INTERACTIVE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,UNITY TECHNOLOGIES,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,VYCLONE,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,WARBY PARKER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,WHISPER,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
THRIVE CAPITAL,ZOLA,Investor,https://www.crunchbase.com/organization/thrive-capital/investments
TIAA-CREF,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
TIGL IRELAND ENTERPRISES LIMITED,TRUMP INTERNATIONAL GOLF LINKS - DOONBEG,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIHH MEMBER CORP.,TRUMP INTERNATIONAL HOTEL HAWAII LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIHH MEMBER LLC,TRUMP INTERNATIONAL HOTEL HAWAII LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIHM MEMBER CORP.,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIHT CHICAGO MEMBER ACQUISITION LLC,401 MEZZ VENTURE LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIHT MEMBER LLC,TIHT COMMERCIAL LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TIPPERARY REALTY CORP.,THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TITAN ATLAS MANUFACTURING,TITAN ATLAS GLOBAL,"In Aug. 2013, TAG ""leases TAM’s building and equipment and attempts to market the same product line,"" according to The Post and Courier's timeline",http://www.postandcourier.com/timeline-trump-may-profit-on-son-s-failure/article_8b4e2248-e898-5d72-8c47-1f3e477117b8.html
"TMG MEMBER, LLC",TRUMP MODEL MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC CHARLOTTE MANAGER CORP.,TRUMP NATIONAL GOLF CLUB - CHARLOTTE,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC DUTCHESS COUNTY LLC,TRUMP MARKS CLASSIC CARS LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC DUTCHESS COUNTY MEMBER CORP.,TRUMP MARKS CLASSIC CARS MEMBER CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC DUTCHESS COUNTY MEMBER CORP.,TRUMP NATIONAL GOLF CLUB - HUDSON VALLEY,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC JUPITER MANAGING MEMBER CORP.,TNGC JUPITER MANAGEMENT LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC PINE HILL LLC,CREST COURT LLC,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC PINE HILL LLC,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,DBA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC PINE HILL MEMBER CORP.,CREST COURT MEMBER CORP.,NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TNGC PINE HILL MEMBER CORP.,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TP CFD MANAGER CORP.,"TP CFD, LLC",Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRADE ASSET MANAGEMENT COMPANY,RECOLTE,Ownership,http://www.marketwired.com/press-release/drinks-americas-expands-trump-super-premium-vodka-to-russia-nasdaq-dkam-789034.htm
TRANSAMERICA CORPORATION,40 WALL STREET LLC,Owns collateralized debt,Morningstar analysis
TRAVEL ENTERPRISES MANAGEMENT INC,"TOYS AT TRUMP, INC.",NKA/FKA,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRIBUTARY FUNDS,TRUMP TOWER COMMERCIAL LLC,Owns collateralized debt,Morningstar analysis
TRUMP 845 LP LLC,845 UN LIMITED PARTNERSHIP,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP 845 UN GP LLC,845 UN LIMITED PARTNERSHIP,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
TRUMP 845 UN MGR CORP.,TRUMP 845 UN GP LLC,Ownership,https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
